iter	Passed	Remaining
0	3165	6328299
1	7115	7108344
2	16122	10732478
3	18017	8990532
4	19569	7808364
5	21563	7166359
6	23142	6588950
7	24990	6222569
8	26520	5866932
9	27964	5564917
10	29873	5401711
11	31802	5268618
12	33679	5147832
13	35350	5014755
14	37441	4954806
15	39243	4866213
16	41411	4830567
17	43572	4797802
18	45088	4701107
19	46941	4647188
20	48742	4593358
21	50148	4508792
22	51770	4450052
23	53350	4392553
24	54831	4331674
25	56185	4265761
26	57281	4185799
27	58887	4147346
28	59968	4075809
29	61162	4016313
30	62477	3968328
31	63421	3900402
32	64857	3865907
33	66037	3818512
34	67244	3775292
35	68695	3747695
36	69967	3712075
37	71265	3679571
38	72676	3654302
39	74001	3626095
40	75067	3586782
41	76332	3558536
42	77376	3521528
43	78489	3489203
44	79764	3465317
45	80834	3433696
46	81998	3407313
47	83311	3387993
48	84690	3372044
49	85989	3353583
50	87312	3336697
51	88588	3318665
52	89975	3305328
53	91402	3293887
54	92736	3279490
55	94198	3270021
56	95581	3258161
57	97010	3248177
58	98239	3231903
59	99733	3224705
60	101188	3216463
61	102073	3190623
62	103634	3186342
63	104834	3171254
64	106074	3157767
65	107383	3146671
66	108650	3134651
67	110126	3128896
68	111608	3123421
69	112921	3113399
70	114412	3108483
71	115784	3100464
72	117064	3090169
73	118358	3080513
74	119480	3066673
75	120498	3050507
76	121964	3045943
77	123338	3039177
78	124854	3036019
79	126134	3027219
80	127442	3019295
81	128809	3012892
82	129936	3001060
83	131219	2993057
84	132589	2987167
85	133830	2978511
86	135098	2970622
87	136068	2956393
88	137222	2946434
89	138646	2942376
90	140047	2937917
91	141472	2934011
92	142990	2932082
93	144251	2924932
94	145596	2919591
95	147070	2916904
96	148496	2913284
97	149788	2907116
98	151347	2906170
99	152505	2897599
100	153773	2891243
101	154936	2883033
102	155937	2871981
103	157320	2868082
104	158419	2859092
105	159510	2850128
106	160767	2844227
107	161820	2834863
108	163094	2829459
109	164411	2824885
110	165361	2814131
111	166802	2811815
112	168113	2807347
113	169472	2803730
114	170885	2801034
115	172163	2796173
116	173507	2792429
117	174679	2785991
118	175762	2778232
119	176940	2772071
120	178294	2768720
121	179385	2761366
122	180626	2756384
123	182163	2755952
124	183529	2752943
125	184618	2745829
126	186076	2744255
127	187405	2740802
128	188730	2737317
129	190074	2734146
130	191203	2727928
131	192533	2724644
132	194021	2723588
133	195463	2721895
134	196864	2719653
135	198349	2718550
136	199927	2718717
137	201046	2712672
138	202389	2709689
139	203873	2708608
140	205304	2706818
141	206753	2705263
142	208255	2704407
143	210085	2707773
144	211427	2704814
145	212444	2697754
146	213510	2691389
147	214882	2688933
148	216265	2686629
149	217534	2682920
150	218658	2677475
151	220013	2674902
152	221352	2672141
153	222692	2669415
154	223856	2664615
155	225273	2662849
156	226387	2657528
157	227518	2652462
158	228507	2645795
159	229754	2642177
160	231046	2639101
161	232403	2636775
162	233602	2632682
163	234928	2630047
164	236246	2627352
165	237516	2624124
166	238729	2620311
167	239841	2615416
168	241194	2613177
169	242400	2609375
170	243932	2609079
171	245069	2604579
172	246271	2600796
173	247677	2599185
174	249002	2596740
175	250187	2592851
176	251581	2591144
177	252828	2587942
178	254252	2586555
179	255473	2583119
180	256704	2579805
181	258113	2578296
182	259421	2575789
183	260509	2571116
184	261880	2569256
185	263017	2565131
186	264131	2560799
187	265614	2560069
188	266780	2556295
189	267972	2552794
190	269314	2550732
191	270740	2549474
192	272012	2546767
193	273420	2545346
194	274754	2543243
195	275972	2540075
196	277325	2538162
197	278632	2535832
198	279809	2532343
199	280977	2528793
200	282016	2524114
201	283602	2524347
202	284946	2522408
203	286226	2519914
204	287418	2516665
205	288517	2512619
206	289845	2510591
207	290991	2507000
208	291993	2502206
209	293181	2499019
210	294365	2495831
211	295479	2492062
212	296796	2490021
213	297888	2486116
214	299164	2483757
215	300506	2481964
216	301970	2481163
217	303281	2479114
218	304666	2477673
219	306037	2476117
220	307492	2475247
221	308981	2474632
222	310350	2473058
223	311516	2469880
224	312804	2467678
225	314231	2466575
226	315628	2465242
227	317015	2463825
228	318141	2460389
229	319201	2456461
230	320548	2454760
231	321857	2452774
232	323021	2449698
233	324214	2446849
234	325477	2444546
235	326474	2440255
236	327410	2435547
237	328382	2431136
238	329304	2426378
239	330340	2422494
240	331372	2418603
241	332401	2414719
242	333565	2411826
243	334535	2407559
244	335667	2404474
245	336989	2402759
246	338530	2402603
247	339829	2400728
248	341060	2398379
249	342273	2395913
250	343725	2395121
251	345078	2393643
252	346326	2391434
253	347642	2389698
254	349114	2389040
255	350402	2387117
256	351415	2383332
257	352765	2381848
258	354188	2380857
259	355643	2380077
260	356810	2377366
261	357798	2373484
262	358694	2369019
263	360005	2367308
264	361167	2364623
265	362523	2363214
266	363658	2360373
267	364953	2358580
