iter	Passed	Remaining
0	1076	1075303
1	2382	1188624
2	3258	1083027
3	4436	1104749
4	5936	1181434
5	7100	1176385
6	7987	1133118
7	8809	1092380
8	9689	1066918
9	10318	1021489
10	11003	989332
11	11719	964885
12	12510	949873
13	13318	937992
14	14114	926877
15	14934	918455
16	15567	900193
17	16248	886422
18	16914	873320
19	17699	867258
20	18575	865966
21	19327	859181
22	19906	845611
23	20587	837219
24	21357	832940
25	21940	821914
26	22445	808857
27	23007	798698
28	23829	797886
29	24491	791881
30	25130	785543
31	25756	779121
32	26219	768311
33	27144	771229
34	27926	769972
35	28521	763736
36	29838	776595
37	30618	775124
38	31642	779715
39	32244	773862
40	32809	767422
41	33280	759110
42	33834	753022
43	34438	748254
44	35021	743242
45	35583	737961
46	36080	731590
47	36676	727413
48	37274	723438
49	37912	720344
50	38634	718902
51	39332	717058
52	40041	715455
53	40689	712822
54	41215	708160
55	41758	703927
56	42301	699834
57	43168	701113
58	44197	704911
59	45890	718953
60	46891	721817
61	47717	721920
62	48387	719663
63	49121	718401
64	49819	716637
65	50608	716186
66	51169	712560
67	51795	709908
68	52512	708543
69	53043	704724
70	53597	701301
71	54590	703616
72	55156	700415
73	55722	697281
74	56261	693885
75	56961	692528
76	57647	691021
77	58368	689943
78	59018	688049
79	59576	685124
80	60107	681958
81	60771	680339
82	61331	677602
83	61977	675846
84	62530	673123
85	63146	671116
86	63812	669669
87	64495	668408
88	65057	665925
89	65737	664677
90	66431	663582
91	67024	661503
92	67798	661218
93	68421	659470
94	69045	657753
95	69778	657085
96	70425	655606
97	70964	653162
98	71603	651660
99	72199	649792
100	72845	648395
101	73537	647419
102	74298	647046
103	74982	646000
104	75668	644986
105	76303	643543
106	76986	642517
107	77628	641156
108	78254	639679
109	79174	640591
110	79754	638755
111	80363	637166
112	81051	636216
113	81611	634280
114	82325	633549
115	83048	632884
116	83683	631559
117	84509	631673
118	85509	633058
119	86560	634779
120	87430	635135
121	88113	634127
122	88926	634049
123	89677	633525
124	90273	631917
125	90841	630122
126	91425	628461
127	92009	626812
128	92653	625592
129	93214	623822
130	93800	622231
