iter	Passed	Remaining
0	6	6876
1	19	9641
2	32	10922
3	50	12478
4	63	12720
5	75	12438
6	89	12646
7	99	12304
8	111	12315
9	124	12297
10	136	12280
11	144	11917
12	153	11653
13	159	11221
14	168	11081
15	174	10750
16	184	10670
17	190	10400
18	206	10647
19	216	10627
20	229	10711
21	235	10485
22	250	10637
23	263	10719
24	275	10741
25	289	10839
26	301	10860
27	316	11003
28	331	11097
29	348	11279
30	362	11337
31	367	11120
32	383	11231
33	396	11256
34	412	11373
35	429	11488
36	439	11435
37	455	11523
38	468	11555
39	484	11626
40	498	11655
41	514	11732
42	529	11777
43	538	11696
44	568	12056
45	583	12111
46	595	12070
47	609	12078
48	620	12051
49	633	12043
50	649	12079
51	670	12219
52	685	12242
53	704	12348
54	722	12408
55	741	12498
56	758	12547
57	781	12691
58	800	12764
59	821	12867
60	841	12950
61	857	12969
62	866	12891
63	882	12904
64	897	12912
65	911	12902
66	927	12911
67	939	12882
68	957	12916
69	971	12905
70	987	12919
71	997	12860
72	1012	12859
73	1034	12942
74	1048	12931
75	1063	12925
76	1079	12941
77	1098	12989
78	1118	13044
79	1134	13050
80	1150	13048
81	1168	13079
82	1185	13092
83	1206	13158
84	1222	13160
85	1234	13125
86	1249	13107
87	1264	13105
88	1278	13082
89	1293	13077
90	1308	13071
91	1325	13086
92	1341	13086
93	1357	13082
94	1377	13119
95	1394	13135
96	1411	13137
97	1425	13118
98	1439	13101
99	1486	13382
100	1500	13353
101	1513	13324
102	1529	13321
103	1547	13332
104	1603	13671
105	1625	13705
106	1636	13656
107	1649	13623
108	1667	13632
109	1684	13626
110	1698	13601
111	1715	13598
112	1727	13563
113	1744	13557
114	1758	13529
115	1769	13485
116	1783	13460
117	1799	13449
118	1814	13429
119	1832	13436
120	1846	13415
121	1864	13419
122	1883	13426
123	1899	13415
124	1914	13398
125	1927	13370
126	1945	13371
127	1957	13334
128	1969	13298
129	1988	13306
130	2003	13291
131	2017	13266
132	2045	13332
133	2059	13312
134	2075	13298
135	2091	13289
136	2108	13283
137	2126	13283
138	2140	13260
139	2159	13265
140	2172	13235
141	2193	13250
142	2209	13241
143	2225	13230
144	2237	13194
145	2252	13176
146	2270	13173
147	2284	13148
148	2296	13116
149	2314	13113
150	2331	13108
151	2349	13106
152	2366	13103
153	2379	13073
154	2398	13073
155	2415	13065
156	2437	13088
157	2456	13092
158	2475	13092
159	2494	13097
160	2510	13082
161	2524	13058
162	2538	13037
163	2555	13028
164	2574	13026
165	2590	13014
166	2604	12993
167	2639	13073
168	2655	13058
169	2671	13044
170	2687	13030
171	2703	13013
172	2719	12998
173	2737	12994
174	2753	12980
175	2772	12981
176	2789	12968
177	2806	12959
178	2821	12941
179	2842	12949
180	2866	12969
181	2893	13005
182	2926	13065
183	2960	13128
184	3006	13245
185	3034	13278
186	3053	13274
187	3069	13256
188	3088	13252
189	3105	13237
190	3126	13241
191	3146	13240
192	3168	13249
193	3184	13230
194	3203	13222
195	3217	13198
196	3235	13187
197	3254	13181
198	3268	13155
199	3283	13134
200	3299	13115
201	3318	13108
202	3334	13090
203	3350	13071
204	3366	13056
205	3382	13038
206	3402	13036
207	3421	13026
208	3438	13012
209	3455	13000
210	3476	13001
211	3492	12980
212	3509	12965
213	3526	12953
214	3545	12946
215	3560	12923
216	3577	12908
217	3595	12896
218	3610	12874
219	3626	12857
220	3663	12912
221	3680	12897
222	3697	12883
223	3715	12871
224	3734	12863
225	3752	12850
226	3768	12831
