iter	Passed	Remaining
0	4	4415
1	14	7135
2	20	6832
3	27	6925
4	36	7298
5	45	7609
6	50	7135
7	58	7258
8	62	6883
9	65	6484
10	73	6640
11	82	6832
12	90	6892
13	101	7113
14	109	7198
15	121	7461
16	156	9043
17	189	10331
18	199	10307
19	210	10290
20	217	10144
21	228	10154
22	238	10110
23	246	10020
24	255	9947
25	265	9944
26	275	9914
27	286	9935
28	294	9874
29	306	9900
30	316	9900
31	327	9905
32	339	9945
33	350	9972
34	360	9938
35	369	9901
36	379	9880
37	392	9928
38	412	10172
39	418	10051
40	429	10041
41	437	9978
42	450	10033
43	460	10009
44	474	10072
45	487	10120
46	498	10110
47	508	10084
48	521	10123
49	535	10174
50	546	10170
51	558	10175
52	569	10174
53	580	10171
54	594	10219
55	606	10219
56	619	10248
57	632	10265
58	642	10253
59	654	10250
60	662	10197
61	673	10189
62	686	10206
63	694	10162
64	706	10166
65	718	10174
66	732	10200
67	743	10186
68	752	10153
69	768	10214
70	778	10191
71	791	10202
72	805	10222
73	815	10210
74	830	10247
75	843	10258
76	857	10273
77	869	10281
78	884	10314
79	895	10294
80	907	10297
81	920	10307
82	934	10330
83	947	10328
84	960	10339
85	972	10334
86	979	10279
87	992	10290
88	1006	10300
89	1024	10355
90	1042	10410
91	1055	10415
92	1067	10409
93	1080	10412
94	1092	10408
95	1105	10408
96	1117	10399
97	1128	10382
98	1145	10424
99	1158	10424
100	1170	10417
101	1183	10418
102	1194	10403
103	1206	10396
104	1219	10395
105	1230	10376
106	1242	10371
107	1254	10363
108	1267	10362
109	1280	10362
110	1292	10354
111	1305	10349
112	1319	10356
113	1333	10366
114	1345	10353
115	1353	10315
116	1368	10324
117	1379	10307
118	1389	10287
119	1399	10266
120	1413	10268
121	1426	10267
122	1437	10250
123	1448	10236
124	1463	10241
125	1474	10229
126	1487	10226
127	1498	10209
128	1511	10202
129	1524	10201
130	1535	10183
131	1545	10164
132	1559	10163
133	1568	10137
134	1579	10122
135	1592	10115
136	1605	10111
137	1612	10075
138	1622	10050
139	1634	10043
140	1647	10034
141	1659	10029
142	1673	10031
143	1688	10035
144	1700	10025
145	1710	10005
146	1721	9988
147	1733	9977
148	1747	9978
149	1756	9955
150	1766	9934
151	1779	9927
152	1791	9920
153	1801	9898
154	1815	9898
155	1828	9893
156	1837	9866
157	1847	9846
158	1862	9849
159	1876	9850
160	1887	9836
161	1900	9831
162	1910	9808
163	1922	9797
164	1932	9780
165	1948	9787
166	1958	9771
167	1971	9764
168	1984	9756
169	1997	9752
170	2011	9750
171	2020	9727
172	2033	9721
173	2047	9720
174	2061	9719
175	2073	9706
176	2083	9685
177	2095	9677
178	2108	9669
179	2121	9664
180	2138	9676
181	2150	9663
182	2166	9672
183	2186	9694
184	2203	9708
185	2217	9704
186	2230	9695
187	2252	9730
188	2268	9734
189	2294	9783
190	2319	9823
191	2346	9874
192	2373	9922
193	2421	10059
194	2469	10192
195	2498	10249
196	2514	10251
197	2530	10250
198	2545	10245
199	2558	10233
200	2570	10217
201	2583	10206
202	2600	10207
203	2618	10215
204	2640	10238
205	2658	10248
206	2674	10246
207	2692	10253
208	2719	10294
209	2739	10305
210	2760	10320
211	2787	10359
212	2801	10350
213	2818	10350
214	2838	10364
215	2861	10387
216	2877	10381
217	2906	10427
218	2957	10548
219	3041	10785
220	3076	10844
221	3107	10890
222	3153	10986
223	3170	10984
224	3191	10992
225	3234	11076
226	3262	11108
227	3280	11108
228	3301	11116
229	3320	11117
230	3338	11112
231	3353	11099
232	3369	11090
233	3379	11064
234	3392	11042
235	3408	11035
236	3421	11016
237	3435	11000
238	3451	10991
239	3469	10987
240	3480	10961
241	3494	10945
242	3506	10924
243	3521	10911
244	3533	10889
245	3545	10867
246	3557	10846
247	3573	10834
248	3589	10825
249	3602	10808
250	3614	10786
251	3628	10771
252	3645	10763
253	3659	10748
254	3672	10730
255	3684	10707
256	3695	10685
257	3708	10664
258	3722	10650
259	3734	10629
260	3747	10611
261	3758	10587
262	3773	10573
263	3786	10554
264	3797	10533
265	3811	10518
266	3829	10513
267	3843	10497
268	3857	10483
269	3869	10463
270	3885	10451
271	3898	10435
